400.10	458.80	418.90	456.40	439.50	339.5	334.7	284.9	342.5	353.3	349.8	281.4	297.8	322.9	387.9	338.1	307.8	343.5	363.0	373.2	316.2	437	427.2	449.5	320.8	378.9	353.6	373.8	351.1	338.8	335.6	343.7	334.3	322.9	328.6	328.2	324.3	337	312.2	317	334.8	349.3	430.2	389.5	300	347.9	347.3	337.4	374.4	369.9	298.5	330.5	327.5	313
197.20	262.30	274.50	171.40	207.80	257	285	305	316	257	299	334	311	291	229	254	269	254	240	255	254	151.2	144	140.6	256	245	271	270.6	278.8	286	288.1	285.1	280.1	247.6	295.7	275.1	261	270.3	306.8	272	265.6	257.1	204.8	220.6	281.4	291.4	275.2	267.4	255.5	257.2	291.7	251.1	243.5	252.1
694.00	549.00	602.00	643.00	642.00	487.8	500.4	537	489.1	525.4	456.5	571.1	484.4	482.3	526.2	517	551.6	523.5	494.9	494.3	523.2	465	519	535	543	460	481	521	538	556	535	464	447	521	499	501	521	471	481	496	492	517	482	507	497	491	497	547	527	521	529	560	587	552
448.00	489.00	475.00	560.00	493.00	346.5	254.8	264.9	226.7	229.2	250.2	234.4	328	279.3	238.1	297.1	293	283.2	298.6	247.6	303.5	231	259	247	245	231	226	271	279	305	308	198	275	282	275	267	265	268	290	285	251	267	259	273	298	270	259	284	285	265	262	258	251	281
484.80	518.60	510.50	466.20	504.10	288.4	324.7	307.6	348	343.4	363.4	292	299.1	347.7	344.4	319.5	316.6	319.7	317.1	349.6	331.7	405.1	355.6	321.4	321.1	346.5	337.6	349.8	352.4	332.4	319.4	351.6	373.1	325.0	331.1	332.7	346.8	355.4	324.9	344.0	387.5	333.0	341.5	313.1	373.7	334.8	388.5	316.6	318.7	334.7	369.0	339.5	343.6	345.5
2224.10	2277.70	2280.90	2297.00	2286.40	1719.2	1699.6	1699.4	1722.3	1708.3	1718.9	1712.9	1720.3	1723.2	1725.6	1725.7	1738.0	1723.9	1713.6	1719.7	1728.6	1689.3	1704.8	1693.5	1685.9	1661.4	1669.2	1786.2	1799.3	1818.2	1786.1	1642.4	1709.5	1698.5	1729.4	1704.0	1718.1	1701.7	1714.9	1714.0	1730.9	1723.4	1717.5	1703.2	1750.1	1735.1	1767.0	1752.4	1760.6	1747.8	1750.2	1739.1	1752.6	1743.6
1944.80	1837.30	1858.10	1860.20	1841.60	1943.4	1904.1	1904.5	1842.2	1854.8	1839.1	1900	1910.3	1898.5	1839.5	1896.5	1899.4	1885.8	1812.8	1806.9	1893.4	1783.8	1802.4	1725.4	1925.3	1855.6	1849.8	1821.1	1842.3	1863.5	1827.6	1882.8	1889.1	1911.4	1852	1938.1	1902.2	1903.4	1884.5	1883.3	1927.2	1890.3	1771.4	1855.4	1901.6	1854.8	1846.9	1833.3	1795.1	1830.5	1954.2	1888.1	1898.6	1967.4
1463.60	1318.80	1449.70	1265.20	1367.10	1429	1515	1587	1541	1580	1586	1540	1540	1535	1559	1528	1564	1563	1647	1639	1576	1743	1587.2	1667.5	1468	1534.4	1516.9	1594.5	1551.4	1515.2	1590.3	1587.2	1553.9	1615.4	1564.8	1529.4	1568.5	1555.5	1581.5	1566.3	1509.1	1527.3	1670.5	1597.7	1567	1559.3	1570.7	1595.2	1634.3	1558.6	1565.9	1556.4	1591	1531.5
2500.10	2847.40	2711.30	2914.50	2753.50	2757.5	2715.3	2688.6	2782.3	2749	2791	2688.4	2742.8	2793.2	2775.5	2722.2	2718.1	2728.8	2734.6	2745.7	2724.7	2794.9	2738.4	2701.4	2743.1	2762.4	2792.9	2626.5	2697.5	2685.6	2661.8	2722.6	2750.7	2663.7	2735.5	2661	2692.3	2729.5	2697	2759	2730.1	2730.9	2734.9	2683.1	2776.1	2771.2	2783.1	2742.2	2702.8	2766	2603.2	2705.6	2629.7	2621.7
1378.10	1369.80	1180.40	1303.80	1419.50	1681.5	1661.8	1556.4	1629.2	1595.5	1552.8	1611.4	1541.9	1519.1	1604.7	1649.9	1546.1	1546.1	1581.7	1578.1	1577.4	1652.9	1636.2	1678.7	1576.1	1593.2	1596.9	1602.5	1528.5	1551.2	1556.3	1595.5	1603.3	1495	1624.2	1603.3	1581.5	1566	1573	1558	1608.9	1607.5	1550	1584.5	1504.9	1549.3	1556.8	1559.4	1608.4	1612.5	1590.8	1610.6	1603.3	1595.8
